read_id	spedd.rdp
3a58b176-5df5-4ca1-8ef5-42c517a44b60	1850
3a58b176-5df5-4ca1-8ef5-42c517a44b60	1650
56608dc2-50ee-47ba-aa18-119ebafad02c	4000
66837972-854d-4f51-9400-bae6ff8c4ee1	3050
bd158909-a2fd-4d4d-a118-0938fb22fda6	2150
fd26b86f-7499-4398-9694-39e44dba5ee7	3450
3fd72188-4649-41bb-8c64-1ce8f2aa0d09	1050
9d6a5431-246a-4fcc-80bf-9ce0a0ed0a23	4300
a5478ee8-f83e-4266-ba61-888265b0bddf	1550
d37da31c-8cba-43db-8642-f68b80818abb	2450
ee6082a1-94cd-48fc-9b86-42754890db06	1150
c1698a4a-74f3-45cc-9f46-6564d0b3e3c1	900
c1698a4a-74f3-45cc-9f46-6564d0b3e3c1	1100
548bd904-4e7d-4656-a4ee-eb3ed4b31e9f	700
33e28d88-0722-44a1-aceb-8469157ddef6	650
ecae2c44-bc20-4beb-8265-31c4a5347308	4300
1b706dab-12c2-4944-abb7-71a018afe4ec	2900
785ceb15-a24a-4cec-8ea0-b304f8c1a4bf	1850
785ceb15-a24a-4cec-8ea0-b304f8c1a4bf	3450
f8fa7675-caf7-4b09-919c-63c6aeaf45bb	3950
853ce650-190d-459d-8351-cb7323c7e2f6	1100
f9224ae6-333b-4b1f-aa91-fd32e5ba6edd	1350
09ed0764-74fb-4a4c-93de-3320c272ab3b	1250
80cc5069-3b73-4ad8-a439-204c4b99273b	2750
80cc5069-3b73-4ad8-a439-204c4b99273b	3250
9cb2473d-6baf-4855-bb7e-d13a8819e414	1550
7ec2247f-ef5f-4219-8e45-f2cc7de01ae3	750
bc201a7f-f5b7-46dc-9848-a54ee1678410	3300
ea6eb1c5-6d4c-453e-8607-315b9fd54f12	850
438f1898-0987-43da-bb14-2b00093f976a	2950
1d768b6d-ae94-4169-a2e6-bcd48598c0d2	1250
60b7464d-3881-4003-8aae-c524b2547699	800
60b7464d-3881-4003-8aae-c524b2547699	750
268fccd7-0613-4862-96d5-8973ee1cd88e	2450
5445cf53-2afb-447c-9b9c-312bea7d1454	1600
5f8d39c2-2c31-421b-b9a3-5f50160cdd51	1500
39cc11ea-caa0-445b-bcd2-e20a36a60f6a	1550
731d6b76-6cb1-4c63-91a8-b5d8060ea512	2050
7809c51b-47c4-4fcb-ad6a-1170fff2bba8	3750
bc68226d-619a-4cfa-988f-ae705d146abb	1300
02495d00-d9c6-430e-a953-f110c11245c1	1400
d1b75055-b131-49a4-b92c-30e71c215e63	2650
0fc8ac10-fba0-450c-af63-af7f65b0e81c	1000
0b501616-c77f-4c83-94a6-1c6cedcf1841	2150
1881b077-1b45-4a49-9db2-fc75629fcf5e	800
0c089e1d-db4c-4c2f-845e-ca284fd333a7	3650
8a52cdf1-81f9-4090-9d39-a561052757a3	850
4256a77f-d837-4590-a3da-80b9e8f8e5a8	2250
a04dba6f-a284-4f09-94e0-ba0fd6248854	3200
613936c9-21ba-47ac-a153-d2e00a404ec7	2350
30a0b4cb-1db6-4c3a-b5cc-f7306c684c41	650
48d0571e-8e30-44a4-9452-437ce67816a2	950
d1e16312-6243-4ce3-a3b2-81d3f2cafb84	2000
cc8bbfe9-a731-4442-b2f8-2befccbe9c0e	1250
01765266-2d8d-4e1c-99c8-249a76bbffe4	1850
90c9ceca-4ebd-48a2-b56b-e3892324a395	650
65ac0e97-be39-4e45-bb9e-0c6dfaa08ed6	2500
d065ac74-cca2-43a5-aca0-5fe8338c2dee	4750
33275d73-7b8b-4c25-a56d-b0269abdd193	1250
3fa9f18b-118f-4684-a996-961510e6e4ae	2300
7deac256-ecc1-4883-b101-a5c8c2ec3eb7	950
21aa6b29-0dab-49c8-a17b-23210547c72d	850
37a3d57b-df13-4cbd-9c89-bb9efbe70295	3850
b0e0c141-8c32-47c1-8715-42d752d4c9ea	900
